file_path|file_hash|file_size|last_modi
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00684538f54a7e7178f23a7ecbe339162d2fb35f|not_an_image_or_video|47184|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\0068b2456acda37c0e8ca8d26e7547a9ff39b354|not_an_image_or_video|43264|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\0068ded1f3891e4b77b5e9d41ba7cbde2bcd5832|not_an_image_or_video|1952|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\0069e3ae84ed9dc614dd784c3acc71f847f777f6|not_an_image_or_video|2160|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\006b721b4d6afc5543c89c247af1f00743932517|not_an_image_or_video|137696|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\006df1ac0d5f35c1de52cca74132a7dc7bd10801|not_an_image_or_video|3872|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\006e303a5e40d2c76016be721915316350f61d3b|not_an_image_or_video|14135360|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\006e39136f768847c103400d81c5d5dba80e138a|not_an_image_or_video|2912|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00708cf3060e01dbcd39121186536cf60f7983f4|not_an_image_or_video|2592|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\0070c4280f93d1ec1a9856151aae7ec10c6a752e|not_an_image_or_video|3056|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\0071723450ffebe567325daa850649a3882888d5|not_an_image_or_video|96|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\007462714e3337c3dac46b2a8fc0af3fe6844d5b|not_an_image_or_video|3056|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\0075068e7f963675d36006526f8c344b99effd29|not_an_image_or_video|2720|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00751d11ec2f689e7f09def7bea9ae8273d669a0|not_an_image_or_video|104192|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\0077d0a68328de3dd22ad8ff5da6cd8c9e82c227|not_an_image_or_video|3632|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\007815a359162138a6a26866c49987bde51317ed|not_an_image_or_video|2112|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00784ad0162832d08ba5d34f67d1293ca7b6d952|not_an_image_or_video|286864|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\007896168b6117b227a3f373b344b623f5fa4bf8|not_an_image_or_video|1824|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\007a58809ec712d515a0b51578807ad0e35fcab3|not_an_image_or_video|3072|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\007a5a48be47f70224574ae48b6663bf3c8c7cb2|not_an_image_or_video|326176|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\007bb0df4b0b9d78e6dbaabd2c90de4c4f814ceb|not_an_image_or_video|3760|20200621
